source_genesymbol	target_genesymbol	sign
MAPK8	FOXO4	1
PDGFRB	TNK2	1
PRKACA	ERBB2	1
WNT11	FZD3	1
XXYLT1	NOTCH1	1
PLK1	USP16	1
LPAR1	GNAI1	1
EIF2AK3	PPP3CA	-1
EPHA4	STAT5B	1
FBXO45	TWIST1	-1
DMXL2	RAB3GAP1	1
DUSP1	RUNX2	1
UBB_UBE2G2	NEURL1	1
UBA52_UBE2G1	NEURL1	1
UBA52_UBE2V1	NEURL1	1
UBA52_UBE2S	NEURL1	1
UBB_UBE2H	NEURL1	1
UBC_UBE2V1	NEURL1	1
UBC_UBE2W	NEURL1	1
UBB_UBE2U	NEURL1	1
UBA52_UBE2T	NEURL1	1
RPS27A_UBE2I	NEURL1	1
UBA52_UBE2J1	NEURL1	1
UBA52_UBE2L5	NEURL1	1
UBC_UBE2J1	NEURL1	1
UBC_UBE2A	NEURL1	1
UBB_UBE2C	NEURL1	1
UBC_UBE2D1	NEURL1	1
UBB_UBE2Q1	NEURL1	1
RPS27A_UBE2G1	NEURL1	1
RPS27A_UBE2D2	NEURL1	1
UBC_UBE2B	NEURL1	1
UBB_UBE2E2	NEURL1	1
UBA52_UBE2Z	NEURL1	1
RPS27A_UBE2L3	NEURL1	1
UBA52_UBE2B	NEURL1	1
UBB_UBE2L6	NEURL1	1
UBC_UBE2H	NEURL1	1
UBB_UBE2J2	NEURL1	1
RPS27A_UBE2L6	NEURL1	1
UBB_UBE2D4	NEURL1	1
RPS27A_UBE2K	NEURL1	1
UBB_UBE2D3	NEURL1	1
RPS27A_UBE2N	NEURL1	1
UBA52_UBE2E1	NEURL1	1
RPS27A_UBE2V1	NEURL1	1
UBC_UBE2Z	NEURL1	1
RPS27A_UBE2H	NEURL1	1
RPS27A_UBE2L5	NEURL1	1
UBA52_UBE2N	NEURL1	1
RPS27A_UBE2D3	NEURL1	1
RPS27A_UBE2R2	NEURL1	1
UBC_UBE2E2	NEURL1	1
UBA52_UBE2W	NEURL1	1
UBC_UBE2L3	NEURL1	1
UBB_UBE2D2	NEURL1	1
UBB_UBE2M	NEURL1	1
RPS27A_UBE2V2	NEURL1	1
RPS27A_UBE2NL	NEURL1	1
BIRC6_UBB	NEURL1	1
UBC_UBE2L6	NEURL1	1
RPS27A_UBE2G2	NEURL1	1
UBA52_UBE2Q1	NEURL1	1
UBC_UBE2M	NEURL1	1
RPS27A_UBE2J1	NEURL1	1
UBC_UBE2E1	NEURL1	1
UBA52_UBE2E2	NEURL1	1
UBC_UBE2Q2	NEURL1	1
RPS27A_UBE2D1	NEURL1	1
UBA52_UBE2G2	NEURL1	1
UBC_UBE2K	NEURL1	1
UBA52_UBE2NL	NEURL1	1
RPS27A_UBE2E1	NEURL1	1
UBB_UBE2J1	NEURL1	1
UBA52_UBE2E3	NEURL1	1
UBB_UBE2K	NEURL1	1
UBC_UBE2V2	NEURL1	1
UBB_UBE2W	NEURL1	1
UBC_UBE2L5	NEURL1	1
UBA52_UBE2R2	NEURL1	1
UBA52_UBE2K	NEURL1	1
UBB_UBE2N	NEURL1	1
UBB_UBE2V2	NEURL1	1
UBA52_UBE2Q2	NEURL1	1
UBA52_UBE2C	NEURL1	1
RPS27A_UBE2A	NEURL1	1
UBC_UBE2G1	NEURL1	1
UBB_UBE2Z	NEURL1	1
UBC_UBE2J2	NEURL1	1
RPS27A_UBE2E3	NEURL1	1
UBC_UBE2R2	NEURL1	1
RPS27A_UBE2Z	NEURL1	1
UBC_UBE2T	NEURL1	1
UBB_UBE2E1	NEURL1	1
UBA52_UBE2M	NEURL1	1
UBB_UBE2D1	NEURL1	1
UBC_UBE2D2	NEURL1	1
UBB_UBE2L3	NEURL1	1
RPS27A_UBE2J2	NEURL1	1
UBC_UBE2N	NEURL1	1
UBA52_UBE2D4	NEURL1	1
UBC_UBE2G2	NEURL1	1
RPS27A_UBE2W	NEURL1	1
BIRC6_UBC	NEURL1	1
RPS27A_UBE2E2	NEURL1	1
UBB_UBE2A	NEURL1	1
UBC_UBE2C	NEURL1	1
UBB_UBE2E3	NEURL1	1
UBB_UBE2NL	NEURL1	1
RPS27A_UBE2S	NEURL1	1
UBB_UBE2R2	NEURL1	1
UBC_UBE2Q1	NEURL1	1
UBA52_UBE2A	NEURL1	1
RPS27A_UBE2B	NEURL1	1
UBB_UBE2G1	NEURL1	1
UBB_UBE2Q2	NEURL1	1
RPS27A_UBE2Q2	NEURL1	1
UBB_UBE2T	NEURL1	1
UBC_UBE2D3	NEURL1	1
BIRC6_UBA52	NEURL1	1
UBA52_UBE2H	NEURL1	1
UBA52_UBE2D1	NEURL1	1
UBA52_UBE2I	NEURL1	1
UBA52_UBE2U	NEURL1	1
UBB_UBE2V1	NEURL1	1
RPS27A_UBE2C	NEURL1	1
UBA52_UBE2V2	NEURL1	1
UBA52_UBE2L3	NEURL1	1
RPS27A_UBE2D4	NEURL1	1
UBA52_UBE2D3	NEURL1	1
UBA52_UBE2J2	NEURL1	1
RPS27A_UBE2T	NEURL1	1
UBB_UBE2S	NEURL1	1
UBC_UBE2U	NEURL1	1
UBC_UBE2S	NEURL1	1
UBB_UBE2I	NEURL1	1
UBA52_UBE2L6	NEURL1	1
UBC_UBE2I	NEURL1	1
UBA52_UBE2D2	NEURL1	1
UBC_UBE2E3	NEURL1	1
RPS27A_UBE2Q1	NEURL1	1
RPS27A_UBE2M	NEURL1	1
UBC_UBE2D4	NEURL1	1
UBB_UBE2B	NEURL1	1
UBB_UBE2L5	NEURL1	1
BIRC6_RPS27A	NEURL1	1
UBC_UBE2NL	NEURL1	1
RPS27A_UBE2U	NEURL1	1
FRAT1	EIF2B5	1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	PRPS1	-1
PRKAA1	TBC1D1	-1
BIRC2	RIPK2	1
FN1	ITGAV_ITGB6	1
EGFR	HGS	1
UNC5A	PICK1	1
LTB4R2	GNAI3	1
PIAS4	RPA2	1
CCNB1_CDK1	RANGAP1	1
ILK	PPP1R14C	1
ARRB2	KIF3A	1
FAM20C	PCSK9	1
SOCS3	CUL5_ELOB_ELOC_RNF7	1
UFD1	CD4	-1
PTPRG	PTK2	1
SLBP	H2AC6	1
AURKB	H3-3B	1
FAM20C	SPP1	-1
PRKACA	PTPN11	-1
SSTR1	GNA12	1
NRTN	GFRA1	1
FES	STAT3	1
PTPN6	SYK	-1
SYK	PTPN6	-1
CDC20	FBXO31	-1
UBB_UBE2G2	ANKIB1	1
UBA52_UBE2G1	ANKIB1	1
UBA52_UBE2V1	ANKIB1	1
UBA52_UBE2S	ANKIB1	1
UBB_UBE2H	ANKIB1	1
UBC_UBE2V1	ANKIB1	1
UBC_UBE2W	ANKIB1	1
UBB_UBE2U	ANKIB1	1
UBA52_UBE2T	ANKIB1	1
RPS27A_UBE2I	ANKIB1	1
UBA52_UBE2J1	ANKIB1	1
UBA52_UBE2L5	ANKIB1	1
UBC_UBE2J1	ANKIB1	1
UBC_UBE2A	ANKIB1	1
UBB_UBE2C	ANKIB1	1
UBC_UBE2D1	ANKIB1	1
UBB_UBE2Q1	ANKIB1	1
RPS27A_UBE2G1	ANKIB1	1
RPS27A_UBE2D2	ANKIB1	1
UBC_UBE2B	ANKIB1	1
UBB_UBE2E2	ANKIB1	1
UBA52_UBE2Z	ANKIB1	1
RPS27A_UBE2L3	ANKIB1	1
UBA52_UBE2B	ANKIB1	1
UBB_UBE2L6	ANKIB1	1
UBC_UBE2H	ANKIB1	1
UBB_UBE2J2	ANKIB1	1
RPS27A_UBE2L6	ANKIB1	1
UBB_UBE2D4	ANKIB1	1
RPS27A_UBE2K	ANKIB1	1
UBB_UBE2D3	ANKIB1	1
RPS27A_UBE2N	ANKIB1	1
UBA52_UBE2E1	ANKIB1	1
RPS27A_UBE2V1	ANKIB1	1
UBC_UBE2Z	ANKIB1	1
RPS27A_UBE2H	ANKIB1	1
RPS27A_UBE2L5	ANKIB1	1
UBA52_UBE2N	ANKIB1	1
RPS27A_UBE2D3	ANKIB1	1
RPS27A_UBE2R2	ANKIB1	1
UBC_UBE2E2	ANKIB1	1
UBA52_UBE2W	ANKIB1	1
UBC_UBE2L3	ANKIB1	1
UBB_UBE2D2	ANKIB1	1
UBB_UBE2M	ANKIB1	1
RPS27A_UBE2V2	ANKIB1	1
RPS27A_UBE2NL	ANKIB1	1
BIRC6_UBB	ANKIB1	1
UBC_UBE2L6	ANKIB1	1
RPS27A_UBE2G2	ANKIB1	1
UBA52_UBE2Q1	ANKIB1	1
UBC_UBE2M	ANKIB1	1
RPS27A_UBE2J1	ANKIB1	1
UBC_UBE2E1	ANKIB1	1
UBA52_UBE2E2	ANKIB1	1
UBC_UBE2Q2	ANKIB1	1
RPS27A_UBE2D1	ANKIB1	1
UBA52_UBE2G2	ANKIB1	1
UBC_UBE2K	ANKIB1	1
UBA52_UBE2NL	ANKIB1	1
RPS27A_UBE2E1	ANKIB1	1
UBB_UBE2J1	ANKIB1	1
UBA52_UBE2E3	ANKIB1	1
UBB_UBE2K	ANKIB1	1
UBC_UBE2V2	ANKIB1	1
UBB_UBE2W	ANKIB1	1
UBC_UBE2L5	ANKIB1	1
UBA52_UBE2R2	ANKIB1	1
UBA52_UBE2K	ANKIB1	1
UBB_UBE2N	ANKIB1	1
UBB_UBE2V2	ANKIB1	1
UBA52_UBE2Q2	ANKIB1	1
UBA52_UBE2C	ANKIB1	1
RPS27A_UBE2A	ANKIB1	1
UBC_UBE2G1	ANKIB1	1
UBB_UBE2Z	ANKIB1	1
UBC_UBE2J2	ANKIB1	1
RPS27A_UBE2E3	ANKIB1	1
UBC_UBE2R2	ANKIB1	1
RPS27A_UBE2Z	ANKIB1	1
UBC_UBE2T	ANKIB1	1
UBB_UBE2E1	ANKIB1	1
UBA52_UBE2M	ANKIB1	1
UBB_UBE2D1	ANKIB1	1
UBC_UBE2D2	ANKIB1	1
UBB_UBE2L3	ANKIB1	1
RPS27A_UBE2J2	ANKIB1	1
UBC_UBE2N	ANKIB1	1
UBA52_UBE2D4	ANKIB1	1
UBC_UBE2G2	ANKIB1	1
RPS27A_UBE2W	ANKIB1	1
BIRC6_UBC	ANKIB1	1
RPS27A_UBE2E2	ANKIB1	1
UBB_UBE2A	ANKIB1	1
UBC_UBE2C	ANKIB1	1
UBB_UBE2E3	ANKIB1	1
UBB_UBE2NL	ANKIB1	1
RPS27A_UBE2S	ANKIB1	1
UBB_UBE2R2	ANKIB1	1
UBC_UBE2Q1	ANKIB1	1
UBA52_UBE2A	ANKIB1	1
RPS27A_UBE2B	ANKIB1	1
UBB_UBE2G1	ANKIB1	1
UBB_UBE2Q2	ANKIB1	1
RPS27A_UBE2Q2	ANKIB1	1
UBB_UBE2T	ANKIB1	1
UBC_UBE2D3	ANKIB1	1
BIRC6_UBA52	ANKIB1	1
UBA52_UBE2H	ANKIB1	1
UBA52_UBE2D1	ANKIB1	1
UBA52_UBE2I	ANKIB1	1
UBA52_UBE2U	ANKIB1	1
UBB_UBE2V1	ANKIB1	1
RPS27A_UBE2C	ANKIB1	1
UBA52_UBE2V2	ANKIB1	1
UBA52_UBE2L3	ANKIB1	1
RPS27A_UBE2D4	ANKIB1	1
UBA52_UBE2D3	ANKIB1	1
UBA52_UBE2J2	ANKIB1	1
RPS27A_UBE2T	ANKIB1	1
UBB_UBE2S	ANKIB1	1
UBC_UBE2U	ANKIB1	1
UBC_UBE2S	ANKIB1	1
UBB_UBE2I	ANKIB1	1
UBA52_UBE2L6	ANKIB1	1
UBC_UBE2I	ANKIB1	1
UBA52_UBE2D2	ANKIB1	1
UBC_UBE2E3	ANKIB1	1
RPS27A_UBE2Q1	ANKIB1	1
RPS27A_UBE2M	ANKIB1	1
UBC_UBE2D4	ANKIB1	1
UBB_UBE2B	ANKIB1	1
UBB_UBE2L5	ANKIB1	1
BIRC6_RPS27A	ANKIB1	1
UBC_UBE2NL	ANKIB1	1
RPS27A_UBE2U	ANKIB1	1
CDH6	CTNNB1	1
PRKCA	EWSR1	-1
NEK6	RPS6KB1	1
FAM83C	CSNK1A1L	1
GNB3	PLCG1	1
MERTK	MLKL	1
MAPK3	FOXO3	-1
DYRK1B	HNF1A	1
BRD2	ZMYND8	1
ATM	NKX3-1	-1
PTPRK	EGFR	-1
GSK3B	CDKN1B	1
CDC34	CUL1_FBXW7_SKP1	1
INSR	PTPN6	1
PTPN6	INSR	1
TPR	MAD2L1	1
ARHGAP23	RAC1	-1
DVL2	APC_AXIN1_GSK3B	1
CCN2	ITGA5_ITGB1	1
PRKCA	EGLN2	-1
LONP1	STAR	-1
SRC	RRAS	1
PRMT5	HOXA9	1
PIM1	HIF1A	1
CDK2	COIL	1
PICK1	BNC1	1
SMAD1	RUNX2	1
FAS	RIPK1	1
RIPK1	FAS	1
GSK3B	GCM1	-1
NTSR1	GNAQ	1
CHUK	COPS5	-1
ATM	PEX5	1
DLGAP4	SHANK1	1
MC4R	GNAI1	1
UBB_UBE2G2	COP1	1
UBA52_UBE2G1	COP1	1
UBA52_UBE2V1	COP1	1
UBA52_UBE2S	COP1	1
UBB_UBE2H	COP1	1
UBC_UBE2V1	COP1	1
UBC_UBE2W	COP1	1
UBB_UBE2U	COP1	1
UBA52_UBE2T	COP1	1
RPS27A_UBE2I	COP1	1
UBA52_UBE2J1	COP1	1
UBA52_UBE2L5	COP1	1
UBC_UBE2J1	COP1	1
UBC_UBE2A	COP1	1
UBB_UBE2C	COP1	1
UBC_UBE2D1	COP1	1
UBB_UBE2Q1	COP1	1
RPS27A_UBE2G1	COP1	1
RPS27A_UBE2D2	COP1	1
UBC_UBE2B	COP1	1
UBB_UBE2E2	COP1	1
UBA52_UBE2Z	COP1	1
RPS27A_UBE2L3	COP1	1
UBA52_UBE2B	COP1	1
UBB_UBE2L6	COP1	1
UBC_UBE2H	COP1	1
UBB_UBE2J2	COP1	1
RPS27A_UBE2L6	COP1	1
UBB_UBE2D4	COP1	1
RPS27A_UBE2K	COP1	1
UBB_UBE2D3	COP1	1
RPS27A_UBE2N	COP1	1
UBA52_UBE2E1	COP1	1
RPS27A_UBE2V1	COP1	1
UBC_UBE2Z	COP1	1
RPS27A_UBE2H	COP1	1
RPS27A_UBE2L5	COP1	1
UBA52_UBE2N	COP1	1
RPS27A_UBE2D3	COP1	1
RPS27A_UBE2R2	COP1	1
UBC_UBE2E2	COP1	1
UBA52_UBE2W	COP1	1
UBC_UBE2L3	COP1	1
UBB_UBE2D2	COP1	1
UBB_UBE2M	COP1	1
RPS27A_UBE2V2	COP1	1
RPS27A_UBE2NL	COP1	1
BIRC6_UBB	COP1	1
UBC_UBE2L6	COP1	1
RPS27A_UBE2G2	COP1	1
UBA52_UBE2Q1	COP1	1
UBC_UBE2M	COP1	1
RPS27A_UBE2J1	COP1	1
UBC_UBE2E1	COP1	1
UBA52_UBE2E2	COP1	1
UBC_UBE2Q2	COP1	1
RPS27A_UBE2D1	COP1	1
UBA52_UBE2G2	COP1	1
UBC_UBE2K	COP1	1
UBA52_UBE2NL	COP1	1
RPS27A_UBE2E1	COP1	1
UBB_UBE2J1	COP1	1
UBA52_UBE2E3	COP1	1
UBB_UBE2K	COP1	1
UBC_UBE2V2	COP1	1
UBB_UBE2W	COP1	1
UBC_UBE2L5	COP1	1
UBA52_UBE2R2	COP1	1
UBA52_UBE2K	COP1	1
UBB_UBE2N	COP1	1
UBB_UBE2V2	COP1	1
UBA52_UBE2Q2	COP1	1
UBA52_UBE2C	COP1	1
RPS27A_UBE2A	COP1	1
UBC_UBE2G1	COP1	1
UBB_UBE2Z	COP1	1
UBC_UBE2J2	COP1	1
RPS27A_UBE2E3	COP1	1
UBC_UBE2R2	COP1	1
RPS27A_UBE2Z	COP1	1
UBC_UBE2T	COP1	1
UBB_UBE2E1	COP1	1
UBA52_UBE2M	COP1	1
UBB_UBE2D1	COP1	1
UBC_UBE2D2	COP1	1
UBB_UBE2L3	COP1	1
RPS27A_UBE2J2	COP1	1
UBC_UBE2N	COP1	1
UBA52_UBE2D4	COP1	1
UBC_UBE2G2	COP1	1
RPS27A_UBE2W	COP1	1
BIRC6_UBC	COP1	1
RPS27A_UBE2E2	COP1	1
UBB_UBE2A	COP1	1
UBC_UBE2C	COP1	1
UBB_UBE2E3	COP1	1
UBB_UBE2NL	COP1	1
RPS27A_UBE2S	COP1	1
UBB_UBE2R2	COP1	1
UBC_UBE2Q1	COP1	1
UBA52_UBE2A	COP1	1
RPS27A_UBE2B	COP1	1
UBB_UBE2G1	COP1	1
UBB_UBE2Q2	COP1	1
RPS27A_UBE2Q2	COP1	1
UBB_UBE2T	COP1	1
UBC_UBE2D3	COP1	1
BIRC6_UBA52	COP1	1
UBA52_UBE2H	COP1	1
UBA52_UBE2D1	COP1	1
UBA52_UBE2I	COP1	1
UBA52_UBE2U	COP1	1
UBB_UBE2V1	COP1	1
RPS27A_UBE2C	COP1	1
UBA52_UBE2V2	COP1	1
UBA52_UBE2L3	COP1	1
RPS27A_UBE2D4	COP1	1
UBA52_UBE2D3	COP1	1
UBA52_UBE2J2	COP1	1
RPS27A_UBE2T	COP1	1
UBB_UBE2S	COP1	1
UBC_UBE2U	COP1	1
UBC_UBE2S	COP1	1
UBB_UBE2I	COP1	1
UBA52_UBE2L6	COP1	1
UBC_UBE2I	COP1	1
UBA52_UBE2D2	COP1	1
UBC_UBE2E3	COP1	1
RPS27A_UBE2Q1	COP1	1
RPS27A_UBE2M	COP1	1
UBC_UBE2D4	COP1	1
UBB_UBE2B	COP1	1
UBB_UBE2L5	COP1	1
BIRC6_RPS27A	COP1	1
UBC_UBE2NL	COP1	1
RPS27A_UBE2U	COP1	1
PAK4	FH	-1
PTPRH	INSR	-1
BDKRB1	GNAO1	1
LPAR3	GNAL	1
RUBCNL	VPS11_VPS16_VPS18_VPS33A_VPS39_VPS41	1
CRBN_CUL4A_DDB1_RBX1	CDT1	-1
USP8	BACE1	1
INSR	CALM2	-1
HDAC4	RUNX2	-1
CTNNA1	YAP1	-1
RNF8	RAD18	1
CDK1	MORC2	-1
PTPN1	MET	-1
MAPK14	SIAH2	1
CUL3_RBX1_SKP1	TUT1	-1
ROCK1	ARHGAP24	1
AKT1	RAB3IP	1
MDM2	TP73	-1
CSNK2A1	CLIP1	1
PRKCA	TNNI3	1
LRRK1	RAB7A	1
ASH2L_DPY30_KMT2D_RBBP5_SETD1A_SETD1B_WDR5	H3-3B	-1
HUWE1	NEIL1	-1
HDAC1	CCND1	1
RUNX1	CHUK_IKBKB_IKBKG	-1
FBXO21	CUL1_RBX1_SKP1	1
PTPRJ	MAPK3	-1
GSK3B	HDAC6	1
HIPK2	AATF	-1
RAD1	TOPBP1	1
CCNH_CDK7_MNAT1	TP53	1
GRIN1_GRIN2B	DLG4	1
PDE4DIP	PRKAR2A	1
PRKD1	CERT1	-1
HIPK2	EP300	1
AURKA	TP73	-1
MAPK1	RUNX1	1
CUL3_RBX1_SKP1	SEC31A	1
CDK5	DPYSL3	1
CAMK2A	OPRM1	-1
TNFSF4	TNFRSF4	1
HIPK2	FOXM1	1
INSR	FRS2	1
INSR	KHDRBS1	1
PTK2	CTTN	1
BTRC_CUL1_SKP1	COMMD1	-1
CDK8	SMAD3	-1
ACVR2B	SMAD3	1
SRC	GRIK2	1
LRIG1	CBLC	1
CBLC	LRIG1	-1
TGFB1I1	FYN	1
FYN	TGFB1I1	1
CDC14A	IREB2	1
IRAK1	PELI2	1
PELI2	IRAK1	1
JAK1	RIPK1	1
PRKACA	AQP5	1
CSNK2A2	GTF2A1	1
CDK1	NDUFB6	1
JAK2	ESR1	-1
ADRA2A	GNAZ	1
PPM1D	TP53BP1	-1
S1PR1	GNAI3	1
FGFR1	SYNCRIP	-1
RACK1	PTK7	1
FGF13	SCN5A	-1
UBA6_UBB	UBE2V1	1
RPS27A_UBA6	UBE2V1	1
UBA6_UBC	UBE2V1	1
UBA52_UBA6	UBE2V1	1
PAK2	CASP7	-1
PPM1A	PAK1	-1
KNDC1	MAP2	1
CHEK1	E2F3	1
LIMK2	NKX3-1	-1
PRKCD	CYBA	1
CUL1_RBX1_SKP1	TP53	-1
BRSK1	CAST	1
CAMK2A	PKD2L1	-1
LNX1	NUMB	-1
LIMK2	TWIST1	1
LRRK2	RIPK2	1
UBB_UBE2G2	RNF32	1
UBA52_UBE2G1	RNF32	1
UBA52_UBE2V1	RNF32	1
UBA52_UBE2S	RNF32	1
UBB_UBE2H	RNF32	1
UBC_UBE2V1	RNF32	1
UBC_UBE2W	RNF32	1
UBB_UBE2U	RNF32	1
UBA52_UBE2T	RNF32	1
RPS27A_UBE2I	RNF32	1
UBA52_UBE2J1	RNF32	1
UBA52_UBE2L5	RNF32	1
UBC_UBE2J1	RNF32	1
UBC_UBE2A	RNF32	1
UBB_UBE2C	RNF32	1
UBC_UBE2D1	RNF32	1
UBB_UBE2Q1	RNF32	1
RPS27A_UBE2G1	RNF32	1
RPS27A_UBE2D2	RNF32	1
UBC_UBE2B	RNF32	1
UBB_UBE2E2	RNF32	1
UBA52_UBE2Z	RNF32	1
RPS27A_UBE2L3	RNF32	1
UBA52_UBE2B	RNF32	1
UBB_UBE2L6	RNF32	1
UBC_UBE2H	RNF32	1
UBB_UBE2J2	RNF32	1
RPS27A_UBE2L6	RNF32	1
UBB_UBE2D4	RNF32	1
RPS27A_UBE2K	RNF32	1
UBB_UBE2D3	RNF32	1
RPS27A_UBE2N	RNF32	1
UBA52_UBE2E1	RNF32	1
RPS27A_UBE2V1	RNF32	1
UBC_UBE2Z	RNF32	1
RPS27A_UBE2H	RNF32	1
RPS27A_UBE2L5	RNF32	1
UBA52_UBE2N	RNF32	1
RPS27A_UBE2D3	RNF32	1
RPS27A_UBE2R2	RNF32	1
UBC_UBE2E2	RNF32	1
UBA52_UBE2W	RNF32	1
UBC_UBE2L3	RNF32	1
UBB_UBE2D2	RNF32	1
UBB_UBE2M	RNF32	1
RPS27A_UBE2V2	RNF32	1
RPS27A_UBE2NL	RNF32	1
BIRC6_UBB	RNF32	1
UBC_UBE2L6	RNF32	1
RPS27A_UBE2G2	RNF32	1
UBA52_UBE2Q1	RNF32	1
UBC_UBE2M	RNF32	1
RPS27A_UBE2J1	RNF32	1
UBC_UBE2E1	RNF32	1
UBA52_UBE2E2	RNF32	1
UBC_UBE2Q2	RNF32	1
RPS27A_UBE2D1	RNF32	1
UBA52_UBE2G2	RNF32	1
UBC_UBE2K	RNF32	1
UBA52_UBE2NL	RNF32	1
RPS27A_UBE2E1	RNF32	1
UBB_UBE2J1	RNF32	1
UBA52_UBE2E3	RNF32	1
UBB_UBE2K	RNF32	1
UBC_UBE2V2	RNF32	1
UBB_UBE2W	RNF32	1
UBC_UBE2L5	RNF32	1
UBA52_UBE2R2	RNF32	1
UBA52_UBE2K	RNF32	1
UBB_UBE2N	RNF32	1
UBB_UBE2V2	RNF32	1
UBA52_UBE2Q2	RNF32	1
UBA52_UBE2C	RNF32	1
RPS27A_UBE2A	RNF32	1
UBC_UBE2G1	RNF32	1
UBB_UBE2Z	RNF32	1
UBC_UBE2J2	RNF32	1
RPS27A_UBE2E3	RNF32	1
UBC_UBE2R2	RNF32	1
RPS27A_UBE2Z	RNF32	1
UBC_UBE2T	RNF32	1
UBB_UBE2E1	RNF32	1
UBA52_UBE2M	RNF32	1
UBB_UBE2D1	RNF32	1
UBC_UBE2D2	RNF32	1
UBB_UBE2L3	RNF32	1
RPS27A_UBE2J2	RNF32	1
UBC_UBE2N	RNF32	1
UBA52_UBE2D4	RNF32	1
UBC_UBE2G2	RNF32	1
RPS27A_UBE2W	RNF32	1
BIRC6_UBC	RNF32	1
RPS27A_UBE2E2	RNF32	1
UBB_UBE2A	RNF32	1
UBC_UBE2C	RNF32	1
UBB_UBE2E3	RNF32	1
UBB_UBE2NL	RNF32	1
RPS27A_UBE2S	RNF32	1
UBB_UBE2R2	RNF32	1
UBC_UBE2Q1	RNF32	1
UBA52_UBE2A	RNF32	1
RPS27A_UBE2B	RNF32	1
UBB_UBE2G1	RNF32	1
UBB_UBE2Q2	RNF32	1
RPS27A_UBE2Q2	RNF32	1
UBB_UBE2T	RNF32	1
UBC_UBE2D3	RNF32	1
BIRC6_UBA52	RNF32	1
UBA52_UBE2H	RNF32	1
UBA52_UBE2D1	RNF32	1
UBA52_UBE2I	RNF32	1
UBA52_UBE2U	RNF32	1
UBB_UBE2V1	RNF32	1
RPS27A_UBE2C	RNF32	1
UBA52_UBE2V2	RNF32	1
UBA52_UBE2L3	RNF32	1
RPS27A_UBE2D4	RNF32	1
UBA52_UBE2D3	RNF32	1
UBA52_UBE2J2	RNF32	1
RPS27A_UBE2T	RNF32	1
UBB_UBE2S	RNF32	1
UBC_UBE2U	RNF32	1
UBC_UBE2S	RNF32	1
UBB_UBE2I	RNF32	1
UBA52_UBE2L6	RNF32	1
UBC_UBE2I	RNF32	1
UBA52_UBE2D2	RNF32	1
UBC_UBE2E3	RNF32	1
RPS27A_UBE2Q1	RNF32	1
RPS27A_UBE2M	RNF32	1
UBC_UBE2D4	RNF32	1
UBB_UBE2B	RNF32	1
UBB_UBE2L5	RNF32	1
BIRC6_RPS27A	RNF32	1
UBC_UBE2NL	RNF32	1
RPS27A_UBE2U	RNF32	1
CDK1	RNF138	1
AKT3	NOS3	1
MAP3K2	PXN	-1
MAP3K7	YAP1	-1
CALM2	PPP3CA	1
CSNK2A1	VAMP4	1
CSNK2A1	XRCC1	1
FOXA1	NFIB	1
MAPK1	NR2C1	-1
CSNK2A2	WAS	1
CDK4	RBL1	1
PRKCA	LRP1	1
PIK3AP1	PIK3CB	1
KIRREL3	CASK	1
FYN	CDK5	1
NLGN3	NRXN1	1
PRKCH	PRKD2	1
WWTR1	SMAD2	1
PRKACA	LASP1	1
LASP1	PRKACA	1
STRN4	PPP2CB	1
EDNRB	GNAI1	1
AGTR1	GNG12	1
TAB1	ROR2	-1
PRKCE	SHC1	1
MAPK14	KAT5	1
MAPK4	DUSP2	1
DUSP2	MAPK4	-1
HTR1D	GNAI3	1
STK11	PRMT5	1
PRP4K	KLF13	1
RAB6C	VPS13B	1
UBB_UBE2G2	TRIM64	1
UBA52_UBE2G1	TRIM64	1
UBA52_UBE2V1	TRIM64	1
UBA52_UBE2S	TRIM64	1
UBB_UBE2H	TRIM64	1
UBC_UBE2V1	TRIM64	1
UBC_UBE2W	TRIM64	1
UBB_UBE2U	TRIM64	1
UBA52_UBE2T	TRIM64	1
RPS27A_UBE2I	TRIM64	1
UBA52_UBE2J1	TRIM64	1
UBA52_UBE2L5	TRIM64	1
UBC_UBE2J1	TRIM64	1
UBC_UBE2A	TRIM64	1
UBB_UBE2C	TRIM64	1
UBC_UBE2D1	TRIM64	1
UBB_UBE2Q1	TRIM64	1
RPS27A_UBE2G1	TRIM64	1
RPS27A_UBE2D2	TRIM64	1
UBC_UBE2B	TRIM64	1
UBB_UBE2E2	TRIM64	1
UBA52_UBE2Z	TRIM64	1
RPS27A_UBE2L3	TRIM64	1
UBA52_UBE2B	TRIM64	1
UBB_UBE2L6	TRIM64	1
UBC_UBE2H	TRIM64	1
UBB_UBE2J2	TRIM64	1
RPS27A_UBE2L6	TRIM64	1
UBB_UBE2D4	TRIM64	1
RPS27A_UBE2K	TRIM64	1
UBB_UBE2D3	TRIM64	1
RPS27A_UBE2N	TRIM64	1
UBA52_UBE2E1	TRIM64	1
RPS27A_UBE2V1	TRIM64	1
UBC_UBE2Z	TRIM64	1
RPS27A_UBE2H	TRIM64	1
RPS27A_UBE2L5	TRIM64	1
UBA52_UBE2N	TRIM64	1
RPS27A_UBE2D3	TRIM64	1
RPS27A_UBE2R2	TRIM64	1
UBC_UBE2E2	TRIM64	1
UBA52_UBE2W	TRIM64	1
UBC_UBE2L3	TRIM64	1
